ID,gpt_4_summ,gpt_4_tags
0,"Amanda doesn't have Betty's number. She suggests Hannah to ask Larry, who had called Betty before. Hannah agrees reluctantly.",O O O O O O O O O O O O O O O O O O O O O O O O
1,"Amanda doesn't have Betty's number and suggests Hannah to ask Larry, who recently contacted Betty. Hannah reluctantly agrees.",O O O O O O O O O O O O O O O O O O O O O O
2,"Amanda doesn't have Betty's number, suggests Hannah to ask Larry who recently called Betty. Hannah reluctantly agrees.",O O O O O O O O O O O O O O O O O O O O O O O O
3,"Amanda doesn't have Betty's number. She suggests Hannah to ask Larry, who had called Betty before. Hannah agrees reluctantly.",O O O O O O O O O O O O O O O O O O O O O O O O
4,"Amanda doesn't have Betty's number, suggests Hannah to ask Larry who recently contacted Betty. Hannah reluctantly agrees.",O O O O O O O O O O O O O O O O O O O O O O
5,"Amanda doesn't have Betty's number, suggests Hannah to ask Larry who recently called Betty. Hannah reluctantly agrees.",O O O O O O O O O O O O O O O O O O O O O O
6,"Eric and Rob discuss a stand-up routine they find funny, particularly a train part. They plan to watch more routines on YouTube.",O O O O O O O O O O O O O O O O O O O O O O O O O
7,"Eric and Rob discuss a stand-up routine they find funny, particularly a train part. They plan to watch more routines online.",O O O O O O O O O O O O O O O O O O O O O O
8,"Eric and Rob discuss a stand-up comedy routine, particularly enjoying the 'train part'. They discover more routines on YouTube.",O O O O O O O O O O O O O O O O O O O O O O O O
9,"Eric and Rob discuss a humorous stand-up routine, particularly enjoying the 'train part'. They plan to watch more of the comedian's work online.",O O O O O O O O O O O O O O O O O O O O O O O O
10,"Eric and Rob discuss a stand-up comedy, particularly enjoying the 'train part'. Rob finds more of the comedian's stand-ups on YouTube.",O O O O O O O O O O O O O O O O O O O O O O O O
11,"Eric and Rob discuss a stand-up comedy routine, particularly enjoying the portrayal of Russians. They plan to watch more routines online.",O O O O O O O O O O O O O O O O O O O O
12,Lenny seeks Bob's advice on choosing trousers. Bob suggests picking what gives most outfit options and best quality.,O O O O O O O O O O O O O O O O O O O O
13,Lenny seeks Bob's advice on choosing trousers. Bob suggests picking what gives most outfit options and prioritizes quality.,O O O O O O O O O O O O O O O O O O O O
14,Lenny seeks Bob's advice on choosing trousers. Bob suggests picking what gives most outfit options and best quality.,O O O O O O O O O O O O O O O O O O O O
15,Lenny seeks Bob's advice on choosing trousers. Bob suggests picking what gives most outfit options and best quality.,O O O O O O O O O O O O O O O O O O O O
16,Lenny seeks Bob's advice on choosing trousers. Bob suggests picking what gives most outfit options and prioritizes quality.,O O O O O O O O O O O O O O O O O O O O
17,Lenny seeks Bob's advice on choosing trousers. Bob suggests picking what gives most outfit options and best quality.,O O O O O O O O O O O O O O O O O O O O
18,Emma is not hungry and doesn't want dinner. She assures Will she'll be home soon and doesn't need a pick-up.,O O O O O O O O O O O O O O O O O O O O O O
19,Emma is not hungry and doesn't want Will to cook dinner. She will be home soon and will inform Will upon arrival.,O O O O O O O O O O O O O O O O O O O O O O
20,Emma is not hungry and doesn't want dinner. She assures Will she'll be home soon and doesn't need a pick-up.,O O O O O O O O O O O O O O O O O O O O O O O
21,Emma is not hungry and doesn't want Will to cook dinner. She will be home soon and will inform Will upon arrival.,O O O O O O O O O O O O O O O O O O O O O O O O
22,Emma is not hungry and doesn't want Will to cook dinner. She will be home soon and will inform Will upon arrival.,O O O O O O O O O O O O O O O O O O O O O O O O
